"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","查看所有店员的业绩","查看所有店员的业绩","0","0","1","0","0"
"","标记为非客户","标记为非客户","0","0","1","0","0"
"","接口关联业务逻辑","标记为无效客户客户-总客流","0","0","1","0","0"
"","添加跟进信息","添加跟进信息","0","0","1","0","0"
"","我的客户","我的客户","0","0","1","0","0"
"","接口关联业务逻辑","标记为非客户-总客流","0","0","1","0","0"
"","关联客户","迭代一","0","0","1","0","0"
"","客流统计","客流统计","0","0","1","0","0"
"","抓拍信息列表","抓拍信息列表","0","0","1","0","0"
"","接口关联业务逻辑","切换客户状态筛选","0","0","1","0","0"
"","会员识别","跟进-再次跟进","1","0","0","0","0"
"","修改我的客户","修改我的客户","0","0","1","0","0"
"","去跟进客户","去跟进客户","0","0","1","0","0"
"","抓拍列表数据","抓拍列表数据","0","0","1","0","0"
